NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
3CNERGY LIMITED                                             SG0502000029        502       3Cnergy
AUCKLANDC EUR500M0.625%N241113                              XS1716946717        84ZB      AucklandCn0.625%241113S
AUCKLANDC NOK1B 2.0775%N311128                              XS1514161956        61YB      AucklandCn2.0775%311128S
AUCKLANDCOEU185M 2.125%N340324                              XS1045821847        3E4B      AucklandC2.125%340324S
AUCKLANDCOUN EU500M1%N270119                                XS1520344745        67KB      AucklandCoun1%270119S
AUDIENCE ANALYTICS LIMITED                                  SGXE74394474        1AZ       Audience
AUNA S.A.A.US$300M6.5%N251120A                              US05151VAA52        8B6B      Auna S.A.A. n6.5%251120A
AUNA S.A.A.US$300M6.5%N251120R                              USP0592VAA63        UXDB      Auna S.A.A. n6.5%251120R
AURIZON EUR500M2%N240918                                    XS1111428402        16KB      Aurizon n2%240918S
AURIZON EUR500M3.125%N260601                                XS1418788599        4E4B      Aurizon n3.125%260601S
AUSDRILL US$300M6.875%N191101A                              US05210QAA58        2LOB      Ausdril6.875%191101A
AUSDRILL US$300M6.875%N191101R                              USQ0700QAA50        2LPB      Ausdril6.875%191101R
AUSGRID EUR525M0.875%N311007                                XS2391430837        WJ0B      Ausgrid n0.875%311007S
AUSGRID EUR650M1.25%N250730                                 XS1812905526        8TMB      Ausgrid n1.25%250730S
AUSGROUP LIMITED                                            SG1R38924838        5GJ       AusGroup
AUSGROUP S$110M 5% N221203                                  SG6TF6000008        18WB      AusGroup 5% n221203S
AUSTPACAP EUR350M1.75%N241015                               XS1121229402        18PB      AustPacAir 1.75%n241015S
AUSTPACAP EUR550M3.125%N230926                              XS0974122516        2C8B      AustPacAir3.125%n230926S
AUSTPACAP NOK1.5B2.7%N300927                                XS1493831314        6L2B      AustPacAir 2.7%n300927S
AUTOPISTAUS$300M7.375%N301230A                              US05330RAA86        72HB      Autopistasn7.375%301230A
AUTOPISTAUS$300M7.375%N301230R                              USP05875AB84        72IB      Autopistasn7.375%301230R
AVARGA LIMITED                                              SG1K55001665        U09       Avarga
AVATIONCAP US$300M6.5%261031A                               US05351CAA53        8ULB      AvationCap n6.5%261031A
AVATIONCAP US$300M6.5%261031R                               USL56473AA67        8UMB      AvationCap n6.5%261031R
AVIANCA US$484.419M9%N230510A                               US05367GAB68        94OB      Avianca n9%230510A
AVIANCA US$484.419M9%N230510R                               USP06048AB19        VA6B      Avianca n9%230510R
AVIANCA US$550M8.375%N200510A                               USP06048AA36        FAAB      Avianca n8.375%200510A
AVIANCA US$550M8.375%N200510R                               US05367GAA85        V2PB      Avianca n8.375%200510R
AVIFUND USD500M2.85%200916A                                 US002364AA53        35MB      AviFund n2.85%200916A
AVIFUND USD500M3.8%250916A                                  US002364AB37        35KB      AviFund n3.8%250916A
AVIFUND USD500M3.8%250916R                                  XS1291170360        35JB      AviFund n3.8%250916R
AVI-TECH HOLDINGS LIMITED                                   SGXE48832328        1R6       Avi-Tech Hldg
AVJENNINGS LIMITED                                          AU000000AVJ0        A05       AVJennings A$
AXIATA US$1B3.064%N500819                                   XS2216900287        GMQB      Axiata n3.064%500819S
AXIATAUS$500M2.163%SUKUK300819                              XS2216900105        XBZB      Axiata suk2.163%300819S
AXIATAUS$500M4.357%SUKUK260324                              XS1382802095        3U7B      Axiata suk4.357%260324S
AXINGTON INC.                                               MYA012218006        42U       Axington
AXINGTON INC. R                                             MYU4000AA004        IXOR      Axington R
AXINGTON INC. R                                             MYU4000AA004        QPQR      Axington R1
AXIS BK US$500M 5.125%N170905A                              US05463CAB81        7YZB      AxisBk5.125%n170905A
AXIS BK US$500M 5.125%N170905R                              US05463EAB48        7ZAB      AxisBk5.125%n170905R
AXISBK US$40M3.817%N240418                                  XS1984154481        SCLB      AxisBk n3.817%240418S
AXISBK US$500M3%N220808A                                    US05463CAE21        7F0B      AxisBk n3%220808A
AXISBK US$500M3%N220808R                                    XS1659030305        7F1B      AxisBk n3%220808R
AXISBK US$600M4.1% A                                        US05464XAA37        ZA1B      AxisBk n4.1% A
AXISBK US$600M4.1% R                                        USY1009XAA73        JHBB      AxisBk n4.1% R
AXISBKUS$500M2.875%N210601A                                 US05463CAD48        4D4B      AxisBk n2.875%210601A
AXISBKUS$500M2.875%N210601R                                 XS1410341389        4D5B      AxisBk n2.875%210601R
AXISBKUS$500M3.25%N200521A                                  US05463CAC64        21EB      AxisBk n3.25%200521A
AXISBKUS$500M3.25%N200521R                                  US05463EAC21        21DB      AxisBk n3.25%200521R
AYC FINANCE US$400M3.9%N                                    XS2388867751        UNEB      AYCFinance n3.9%S
AYC FINANCE US$400M4.85%N                                   XS2068075980        8R5B      AYCFinance n4.85%S
AYCFINANCE US$400M5.125%N                                   XS1681502537        7V7B      AYCFinance n5.125%S
AZEUS SYSTEMS HOLDINGS LTD.                                 BMG075391109        BBW       Azeus
AZIONBAOUS$185.78MZ221231A                                  XS1833304113        GQRB      AzionBao z221231A
AZIONBAOUS$185.78MZ221231D                                  XS1833304204        ROGB      AzionBao z221231D
AZIONBAOUS$185.78MZ221231R                                  XS1833303735        VDOB      AzionBao z221231R
AZTECH GLOBAL LTD.                                          SGXE54866863        8AZ       Aztech Gbl
AZULINV US$400M5.875%N241026A                               US05502FAA66        8DYB      AzulInvn5.875%241026A
AZULINV US$400M5.875%N241026R                               USU0551UAA17        8DZB      AzulInvn5.875%241026R
AZULINV US$600M7.25%N260615A                                US05502FAC23        9VEB      AzulInvn7.25%260615A
AZULINV US$600M7.25%N260615R                                USU0551UAB99        NHMB      AzulInvn7.25%260615R
AZUREPOWUS$414M3.575%N260819A                               US05502VAA17        ORWB      AzurePowern3.575%260819A
AZUREPOWUS$414M3.575%N260819R                               USV0002UAA52        5E6B      AzurePowern3.575%260819R
AZUREPUS$350.101M5.65%N241224A                              US05502TAA60        WGOB      AzurePwrSoln5.65%241224A
AZUREPUS$350.101M5.65%N241224R                              USV04008AA29        UIHB      AzurePwrSoln5.65%241224R
BAIDU 5XLONGSOCGEN 230329                                   LU2267122088        DLEW      Baidu 5xLongSG230329
BAIDU 5XSHORTSOCGEN 230330                                  LU2348851036        DBJW      Baidu 5xShortSG230330
BAIDU INC. US$1B2.75%N190609                                US056752AD07        10MB      Baidu n2.75%190609S
BAIDU INC. US$1B3.25%N180806                                US056752AC24        2YMB      Baidu n3.25%180806S
BAIDU INC. US$400M3.425%N300407                             US056752AR92        HRQB      Baidu n3.425%300407S
BAIDU INC. US$600M3.075%N250407                             US056752AQ10        PVLB      Baidu n3.075%250407S
BAIDU INC. US$650M1.72%N260409                              US056752AS75        NIIB      Baidu n1.72%260409S
BAIDU INC. US$750M2.25%N171128                              US056752AA67        2MHB      Baidu n2.25%171128S
BAIDU INC. US$750M3%N200630                                 US056752AF54        31YB      Baidu n3%200630S
BAIDU INC. US$750M3.5%N221128                               US056752AB41        2MIB      Baidu n3.5%221128S
BAIDU INC.US$1B3.875%N230929                                US056752AK40        8PXB      Baidu n3.875%230929S
BAIDU INC.US$300M2.375%N301009                              US056752AT58        XXKB      Baidu n2.375%301009S
BAIDU INC.US$400M4.875%N281114                              US056752AN88        NZRB      Baidu n4.875%281114S
BAIDU INC.US$500M4.125%N250630                              US056752AG38        31ZB      Baidu n4.125%250630S
BAIDU INC.US$500M4.375%N280329                              US056752AL23        8PYB      Baidu n4.375%280329S
BAIDU INC.US$600M3.625%N270706                              US056752AJ76        76SB      Baidu n3.625%270706S
BAIDU INC.US$600M4.375%N240514                              US056752AM06        KSOB      Baidu n4.375%240514S
BAIDU INC.US$900M2.875%N220706                              US056752AH11        76RB      Baidu n2.875%220706S
BAIDU.COM ADR 10                                            US0567521085        K3SD      BIDU ADR US$+
BAKER TECHNOLOGY LIMITED                                    SG1CI3000002        BTP       Baker Technology
BAN LEONG TECHNOLOGIES LIMITED                              SG1R62925800        B26       Ban Leong
BANCODAVIVIENUS$500M6.65%PERPA                              US059501AD88        49EB      BancoDavivien6.65%PerNA
BANCODAVIVIENUS$500M6.65%PERPR                              USP0R11WAG52        UAKB      BancoDavivien6.65%PerNR
BANCOGEN US$400M5.25%PERPA                                  US059597AF16        VAGB      BancoGenn5.25%PerNA
BANCOGEN US$400M5.25%PERPR                                  USP12651AD05        DSKB      BancoGenn5.25%PerNR
BANCOGEN US$550M4.125%N270807A                              US059597AE41        7I5B      BancoGenn4.125%270807A
BANCOGEN US$550M4.125%N270807R                              USP12651AB49        7I6B      BancoGenn4.125%270807R
BANCOIND US$300M4.875%N310129A                              US05991CAA18        GPXB      BancoInd n4.875%310129A
BANCOIND US$300M4.875%N310129R                              USP13458AB34        X4VB      BancoInd n4.875%310129R
BANCOMERC US$350M 6.875% PCN A                              US05962GAH20        78QB      BancoMerc6.875%PCN A
BANCOMERC US$350M 6.875% PCN R                              USP14008AD19        78RB      BancoMerc6.875%PCN R
BANCOMERC US$500M 5.875% PCN A                              US05973KAA51        TCDB      BancoMerc5.875%PCN A
BANCOMERC US$500M 5.875% PCN R                              USP1401KAA99        Y4DB      BancoMerc5.875%PCN R
BANCOMERC US$500M 7.5% PCN A                                US05971PAB40        WPMB      BancoMerc 7.5%PCN A
BANCOMERC US$500M 7.5% PCN R                                USP1400MAB48        NFVB      BancoMerc 7.5%PCN R
BANCOMERC US$500M 8.375% PCN A                              US05971PAC23        OCQB      BancoMerc8.375%PCN A
BANCOMERC US$500M 8.375% PCN R                              USP1400MAC21        YH2B      BancoMerc8.375%PCN R
BANCOMERC US$500M5.75%N311004A                              US05962GAF63        4Y0B      BancoMerc n5.75%311004A
BANCOMERC US$500M5.75%N311004R                              USP14008AC36        4Y1B      BancoMerc n5.75%311004R
BANCOMERC US$550M 6.625% PCN A                              US05973KAB35        IPOB      BancoMerc6.625%PCN A
BANCOMERC US$550M 6.625% PCN R                              USP1401KAB72        W2NB      BancoMerc6.625%PCN R
BANCOMERC US$550M 7.625% PCN A                              US05962GAJ85        78SB      BancoMerc7.625%PCN A
BANCOMERC US$550M 7.625% PCN R                              USP14008AE91        78TB      BancoMerc7.625%PCN R
BANCOMERC US$600M 6.75% PCN A                               US05971PAA66        ZUMB      BancoMerc 6.75%PCN A
BANCOMERC US$600M 6.75% PCN R                               USP1400MAA64        8XMB      BancoMerc 6.75%PCN R
BANGKOKBK US$500M5%N231003A                                 US059895AQ53        2E1B      BKKBkn5%231003A
BANGKOKBK US$500M5%N231003R                                 USY06072AC92        2E2B      BKKBkn5%231003R
